id,stock_id,date,close,open,high,low
915,4,2020-11-09,218.39,224.44,228.12,217.88
916,4,2020-11-06,223.72,222.26,224.36,218.03
917,4,2020-11-05,223.29,222.04,224.12,221.15
918,4,2020-11-04,216.39,214.02,218.32,212.42
919,4,2020-11-03,206.43,203.89,208.12,203.12
920,4,2020-11-02,202.33,204.29,205.28,200.12
921,4,2020-10-30,202.47,203.5,204.29,199.62
922,4,2020-10-29,204.72,204.07,207.36,203.37
923,4,2020-10-28,202.68,207.67,208.84,202.1
924,4,2020-10-27,213.25,211.59,214.67,210.33
925,4,2020-10-26,210.08,213.85,216.34,208.1
926,4,2020-10-23,216.23,215.03,216.28,213.16
927,4,2020-10-22,214.89,213.93,216.06,211.7
928,4,2020-10-21,214.8,213.12,216.92,213.12
929,4,2020-10-20,214.65,215.8,217.37,213.09
930,4,2020-10-19,214.22,220.42,222.3,213.72
931,4,2020-10-16,219.66,220.15,222.29,219.32
932,4,2020-10-15,219.66,217.1,220.36,216.01
933,4,2020-10-14,220.86,223,224.22,219.13
934,4,2020-10-13,222.86,222.72,225.21,220.43
935,4,2020-10-12,221.4,218.79,223.86,216.81
936,4,2020-10-09,215.81,211.23,215.86,211.23
937,4,2020-10-08,210.58,210.51,211.19,208.32
938,4,2020-10-07,209.83,207.06,210.11,206.72
939,4,2020-10-06,205.91,208.82,210.18,204.82
940,4,2020-10-05,210.38,207.22,210.41,206.98
941,4,2020-10-02,206.19,208,210.99,205.54
942,4,2020-10-01,212.46,213.49,213.99,211.32
943,4,2020-09-30,210.33,207.73,211.98,206.54
944,4,2020-09-29,207.26,209.35,210.07,206.81
945,4,2020-09-28,209.44,210.88,212.57,208.06
946,4,2020-09-25,207.82,203.55,209.04,202.54
947,4,2020-09-24,203.19,199.85,205.57,199.2
948,4,2020-09-23,200.59,207.9,208.1,200.03
949,4,2020-09-22,207.42,205.06,208.1,202.08
950,4,2020-09-21,202.54,197.19,202.71,196.38
951,4,2020-09-18,200.39,202.8,203.65,196.25
952,4,2020-09-17,202.91,200.05,204.33,199.96
953,4,2020-09-16,205.05,210.62,210.65,204.64
954,4,2020-09-15,208.78,208.42,209.78,206.93
955,4,2020-09-14,205.41,204.24,209.2,204.03
956,4,2020-09-11,204.03,207.2,208.63,201.24
957,4,2020-09-10,205.37,213.4,214.74,204.11
958,4,2020-09-09,211.29,207.6,214.84,206.7
959,4,2020-09-08,202.66,206.5,210.03,202.2
960,4,2020-09-04,214.25,215.1,218.36,205.19
961,4,2020-09-03,217.3,229.27,229.31,214.96
962,4,2020-09-02,231.65,227.97,232.86,227.35
963,4,2020-09-01,227.27,225.51,227.45,224.43
964,4,2020-08-31,225.53,227,228.7,224.31
965,4,2020-08-28,228.91,228.18,230.64,226.58
966,4,2020-08-27,226.58,222.89,231.15,219.4
967,4,2020-08-26,221.15,217.88,222.09,217.36
968,4,2020-08-25,216.47,213.1,216.61,213.1
969,4,2020-08-24,213.69,214.79,215.52,212.43
970,4,2020-08-21,213.02,213.86,216.25,212.85
971,4,2020-08-20,214.58,209.54,215,208.91
972,4,2020-08-19,209.7,211.49,212.1,209.25
973,4,2020-08-18,211.49,210.53,212.36,209.21
974,4,2020-08-17,210.28,209.6,211.19,208.92
975,4,2020-08-14,208.9,208.76,209.59,207.51
976,4,2020-08-13,208.7,209.44,211.35,208.15
977,4,2020-08-12,209.19,205.29,210.28,204.75
978,4,2020-08-11,203.38,207.16,207.65,203.14
979,4,2020-08-10,208.25,211.67,211.88,206.35
980,4,2020-08-07,212.48,214.85,215.7,210.93
981,4,2020-08-06,216.35,212.34,216.37,211.55
982,4,2020-08-05,212.94,214.9,215,211.57
983,4,2020-08-04,213.29,214.17,214.77,210.31
984,4,2020-08-03,216.54,211.52,217.64,210.44
985,4,2020-07-31,205.01,204.4,205.1,199.01
986,4,2020-07-30,203.9,201,204.46,199.57
987,4,2020-07-29,204.06,202.5,204.65,202.01
988,4,2020-07-28,202.02,203.61,204.7,201.74
989,4,2020-07-27,203.85,201.47,203.97,200.86
990,4,2020-07-24,201.3,200.42,202.86,197.51
991,4,2020-07-23,202.54,207.19,210.92,202.15
992,4,2020-07-22,211.75,209.2,212.3,208.39
993,4,2020-07-21,208.75,213.66,213.94,208.03
994,4,2020-07-20,211.6,205,212.3,203.01
995,4,2020-07-17,202.88,204.47,205.04,201.39
996,4,2020-07-16,203.92,205.4,205.7,202.31
997,4,2020-07-15,208.04,209.56,211.33,205.03
998,4,2020-07-14,208.35,206.13,208.85,202.03
999,4,2020-07-13,207.07,214.48,215.8,206.5
1000,4,2020-07-10,213.67,213.62,214.08,211.08
1001,4,2020-07-09,214.32,216.33,216.38,211.47
1002,4,2020-07-08,212.83,210.07,213.26,208.69
1003,4,2020-07-07,208.25,210.45,214.67,207.99
1004,4,2020-07-06,210.7,208.83,211.13,208.09
1005,4,2020-07-02,206.26,205.68,208.02,205
1006,4,2020-07-01,204.7,203.14,206.35,201.77
1007,4,2020-06-30,203.51,197.88,204.4,197.74
1008,4,2020-06-29,198.44,195.78,198.53,193.55
1009,5,2021-06-28,49.4,45.72,49.65,45.55
1010,5,2021-06-25,45.07,45.78,45.94,44.88
1011,5,2021-06-24,45.46,45.91,46.59,45.24
1012,5,2021-06-23,45.41,44.97,45.98,44.61
1013,5,2021-06-22,44.1,45.86,46.55,43.81
1014,5,2021-06-21,46.51,46.55,46.99,45.07
1015,5,2021-06-18,46.91,47.68,48.37,46.59
1016,5,2021-06-17,47.36,45.05,47.76,44.86
1017,5,2021-06-16,45.02,44.23,45.13,43.77
1018,5,2021-06-15,45.15,46.21,46.38,45.04
1019,5,2021-06-14,46.55,45.95,47.25,45.58
1020,5,2021-06-11,45.68,42.93,46.26,42.76
1021,5,2021-06-10,42.76,42.67,43.43,42.16
1022,5,2021-06-09,42.74,43.53,44.44,42.73
1023,5,2021-06-08,43.56,44.46,44.89,42.82
1024,5,2021-06-07,43.68,41.67,43.9,41.44
1025,5,2021-06-04,41.94,41.43,42.33,41.15
1026,5,2021-06-03,40.9,40.68,42.37,40.31
1027,5,2021-06-02,41.16,42.15,42.88,40.95
1028,5,2021-06-01,42.34,39.99,42.44,39.94
1029,5,2021-05-28,38.62,38.75,39.76,38.17
1030,5,2021-05-27,38.91,37.95,38.98,37.18
1031,5,2021-05-26,37.76,36.25,38.08,36.07
1032,5,2021-05-25,36.07,36.32,37.64,35.69
1033,5,2021-05-24,35.89,34.26,36.49,33.56
1034,5,2021-05-21,34.06,34.66,34.78,33.87
1035,5,2021-05-20,34.33,33.98,34.51,33.64
1036,5,2021-05-19,33.46,32.98,33.46,32.59
1037,5,2021-05-18,34.19,34.01,34.78,33.26
1038,5,2021-05-17,33.81,33.33,34.16,32.82
1039,5,2021-05-14,33.42,31.94,33.69,31.56
1040,5,2021-05-13,31.22,33.85,34.27,30.71
1041,5,2021-05-12,33.68,34.38,35.13,33.48
1042,5,2021-05-11,34.87,32.45,35.46,32.2
1043,5,2021-05-10,34.33,36.78,36.79,34.3
1044,5,2021-05-07,36.94,37.17,38.04,36.62
1045,5,2021-05-06,36.68,37.49,38.04,35.77
1046,5,2021-05-05,37.71,38.34,38.55,37.34
1047,5,2021-05-04,37.93,38.99,39.32,36.92
1048,5,2021-05-03,39.54,40.34,41.45,39.31
1049,5,2021-04-30,39.84,37.73,41.22,37.35
1050,5,2021-04-29,38.99,41.38,41.49,38.73
1051,5,2021-04-28,41.19,40.74,41.95,40.44
1052,5,2021-04-27,41.21,43.02,43.13,41.02
1053,5,2021-04-26,42.62,41.96,43.22,40.86
1054,5,2021-04-23,41.08,40.2,41.2,39.54
1055,5,2021-04-22,39.57,38.99,40.45,38.49
1056,5,2021-04-21,38.9,36.53,38.96,36.16
1057,5,2021-04-20,36.93,37.17,37.82,35.94
1058,5,2021-04-19,36.78,36.78,37.54,35.36
1059,5,2021-04-16,36.09,34.69,36.54,34.06
1060,5,2021-04-15,35.66,37.02,37.06,34.56
1061,5,2021-04-14,37.02,39.23,39.33,36.79
1062,5,2021-04-13,38.48,37.48,38.66,37.33
1063,5,2021-04-12,37.14,37.96,38,36.76
1064,5,2021-04-09,38.12,38.36,38.36,37.01
1065,5,2021-04-08,38.7,37.62,39.18,37.47
1066,5,2021-04-07,37.27,39.7,39.85,36.95
1067,5,2021-04-06,40,38.83,40.39,38.42
1068,5,2021-04-05,39.31,40.54,40.65,38.72
1069,5,2021-04-01,39.66,41.56,42.06,39.25
1070,5,2021-03-31,38.98,38.96,39.25,37.45
1071,5,2021-03-30,37.55,35.2,37.96,34.61
