id,Date,Close,Volume,Open,High,Low
10,12/18/20,$95.92 ,51823100,$97.27 ,$97.68 ,$93.56 
10,12/17/20,$96.84 ,32023730,$97.55 ,$97.92 ,$96.25 
10,12/16/20,$96.85 ,34909040,$97.04 ,$97.27 ,$95.46 
10,12/15/20,$97.12 ,57305100,$95.93 ,$97.98 ,$95.45 
10,12/14/20,$94.78 ,48026430,$92.21 ,$95.41 ,$91.85 
10,12/11/20,$91.65 ,28368150,$91.54 ,$92.33 ,$90.16 
10,12/10/20,$91.66 ,33804410,$89.55 ,$92.09 ,$89.03 
10,12/9/20,$89.83 ,52170380,$92.76 ,$94.70 ,$89.16 
10,12/8/20,$92.92 ,33907510,$94.05 ,$94.74 ,$91.90 
10,12/7/20,$94.07 ,39815650,$94.95 ,$95 ,$92.97 
10,12/4/20,$94.04 ,45570270,$92.58 ,$94.58 ,$90.63 
10,12/3/20,$92.31 ,35859720,$94.06 ,$94.70 ,$92.01 
10,12/2/20,$93.74 ,57988820,$92.89 ,$96.37 ,$92.53 
10,12/1/20,$92.63 ,58670530,$92.25 ,$93.90 ,$90.78 
10,11/30/20,$92.66 ,84482980,$87.33 ,$92.74 ,$86.53 
10,11/27/20,$87.19 ,22717640,$87.99 ,$88 ,$86.36 
10,11/25/20,$86.71 ,41349730,$85.76 ,$87.84 ,$85.52 
10,11/24/20,$85.07 ,36839170,$85.72 ,$86.11 ,$83.32 
10,11/23/20,$85.31 ,46504960,$85.52 ,$87.54 ,$84.62 
10,11/20/20,$84.64 ,35008430,$85.28 ,$86.10 ,$84.47 
10,11/19/20,$85.54 ,50116760,$82.39 ,$85.64 ,$81.72 
10,11/18/20,$82.54 ,29967960,$83.01 ,$83.96 ,$82.22 
10,11/17/20,$83.36 ,29473510,$83.93 ,$84.81 ,$82.91 
10,11/16/20,$83.73 ,38640840,$81.21 ,$83.78 ,$80.48 
10,11/13/20,$81.43 ,30448460,$82.73 ,$83.11 ,$80.70 
10,11/12/20,$81.84 ,37303110,$81.32 ,$83 ,$80.30 
10,11/11/20,$81.28 ,44611250,$79.39 ,$81.47 ,$78.97 
10,11/10/20,$77.99 ,67137200,$81.93 ,$82.13 ,$77.63 
10,11/9/20,$83.12 ,58580680,$84.24 ,$87.05 ,$82.77 
10,11/6/20,$85.88 ,53829940,$83.52 ,$86.09 ,$82.67 
10,11/5/20,$83 ,46542270,$83.27 ,$83.50 ,$81.85 
10,11/4/20,$81.35 ,66579710,$80.25 ,$81.85 ,$78.98 
10,11/3/20,$76.58 ,41231800,$74.93 ,$77.08 ,$74.60 
10,11/2/20,$74.70 ,45760660,$75.85 ,$76.34 ,$73.76 
10,10/30/20,$75.29 ,51426170,$77.09 ,$77.70 ,$74.23 
10,10/29/20,$78.02 ,52784090,$76.75 ,$79.18 ,$76.29 
10,10/28/20,$76.40 ,76529910,$78.73 ,$78.96 ,$75.76 
10,10/27/20,$78.88 ,156669500,$82 ,$82.37 ,$77.57 
10,10/26/20,$82.23 ,69423680,$82.55 ,$84.97 ,$80.86 
10,10/23/20,$81.96 ,46557680,$80.93 ,$81.99 ,$79.33 
10,10/22/20,$79.42 ,38006800,$79.65 ,$80.82 ,$78.42 
10,10/21/20,$79.20 ,36426410,$81.72 ,$81.93 ,$79.19 
10,10/20/20,$81.56 ,38219420,$82.16 ,$82.69 ,$80.58 
10,10/19/20,$82 ,36689110,$83.62 ,$84.65 ,$81.53 
10,10/16/20,$83.17 ,31474290,$83.54 ,$83.99 ,$82.41 
10,10/15/20,$83.13 ,33696410,$83.40 ,$84.72 ,$82.42 
10,10/14/20,$84.21 ,40446740,$85.86 ,$85.96 ,$83.46 
10,10/13/20,$85.28 ,42764100,$84.86 ,$86.09 ,$83.97 
10,10/12/20,$84.29 ,47669700,$83.65 ,$85.13 ,$83.12 
10,10/9/20,$83.10 ,80354390,$84.74 ,$85.75 ,$82.35 
10,10/8/20,$86.51 ,54240700,$88.11 ,$88.72 ,$85.95 
10,10/7/20,$86.69 ,43045720,$86.10 ,$87.79 ,$85.65 
10,10/6/20,$84.48 ,52725430,$86.21 ,$87.25 ,$83.54 
10,10/5/20,$86.15 ,47056520,$82.55 ,$86.28 ,$82.55 
10,10/2/20,$81.80 ,52855050,$82.58 ,$84.65 ,$81.66 
10,10/1/20,$84.86 ,52177120,$83.06 ,$85.25 ,$82.86 
10,9/30/20,$81.99 ,51533660,$81.75 ,$82.94 ,$80.66 
10,9/29/20,$81.77 ,61633670,$79.30 ,$82.55 ,$79.30 
10,9/28/20,$79.48 ,48005490,$79.12 ,$79.57 ,$77.52 
10,9/25/20,$78.06 ,48206240,$76.35 ,$78.20 ,$74.67 
10,9/24/20,$75.82 ,57540930,$74.54 ,$77.25 ,$73.90 
10,9/23/20,$74.73 ,42327510,$77.39 ,$77.91 ,$74.34 
10,9/22/20,$77.70 ,56044740,$78.37 ,$78.79 ,$75.27 
10,9/21/20,$77.94 ,61311970,$74.23 ,$77.98 ,$73.88 
10,9/18/20,$74.93 ,51082860,$77 ,$77.40 ,$73.85 
10,9/17/20,$76.55 ,55619100,$74.88 ,$76.63 ,$74.20 
10,9/16/20,$76.66 ,38445670,$79.35 ,$79.72 ,$76.54 
10,9/15/20,$78.93 ,57874430,$77.66 ,$80.33 ,$75.97 
10,9/14/20,$77.90 ,47448680,$76.80 ,$78.82 ,$76.26 
10,9/11/20,$76.34 ,54762990,$79.82 ,$79.99 ,$75.04 
10,9/10/20,$78.98 ,51499400,$83.07 ,$83.31 ,$78.38 
10,9/9/20,$81.91 ,54163880,$81.40 ,$82.44 ,$79.28 
10,9/8/20,$78.69 ,54955670,$78.05 ,$81.88 ,$78 
10,9/4/20,$82.01 ,82267760,$81.45 ,$84.39 ,$76.33 
10,9/3/20,$82.54 ,87462690,$87.84 ,$88.47 ,$81.59 
10,9/2/20,$90.22 ,50366920,$94.01 ,$94.28 ,$88.74 
10,9/1/20,$92.18 ,56117100,$91.92 ,$92.51 ,$90.19 
10,8/31/20,$90.82 ,90655950,$85.05 ,$92.64 ,$85.05 
10,8/28/20,$85.55 ,40723270,$84.30 ,$86.04 ,$84.19 
10,8/27/20,$83.80 ,42194220,$86.35 ,$86.58 ,$82.94 
10,8/26/20,$86.02 ,47157270,$86.97 ,$87.72 ,$85.20 
10,8/25/20,$86.35 ,49234400,$83.36 ,$86.62 ,$82.35 
10,8/24/20,$83.08 ,38036070,$84.55 ,$85.33 ,$82.55 
10,8/21/20,$83.81 ,48280320,$83.29 ,$84.41 ,$82.23 
10,8/20/20,$82.77 ,42948860,$79.74 ,$82.84 ,$79.12 
10,8/19/20,$81.09 ,37507390,$81.78 ,$81.85 ,$80.45 
10,8/18/20,$81.66 ,30970480,$82.80 ,$82.88 ,$81.03 
10,8/17/20,$82.42 ,31450160,$82.09 ,$83.06 ,$81.55 
10,8/14/20,$81.30 ,42389480,$81.81 ,$83.24 ,$80.88 
10,8/13/20,$81.84 ,57407360,$82.88 ,$84.02 ,$81.54 
10,8/12/20,$82.61 ,88607830,$78.43 ,$82.88 ,$77.55 
10,8/11/20,$76.88 ,77877660,$80.71 ,$80.71 ,$76.10 
10,8/10/20,$82.24 ,70536140,$85.05 ,$85.16 ,$79.32 
10,8/7/20,$84.85 ,66543160,$86.67 ,$87.29 ,$82.67 
10,8/6/20,$86.71 ,53961740,$85.49 ,$86.98 ,$84.78 
10,8/5/20,$85.31 ,65737310,$84.96 ,$86.32 ,$83.32 
10,8/4/20,$85.04 ,155676100,$78.03 ,$85.81 ,$77.99 
10,8/3/20,$77.67 ,42628820,$78.19 ,$78.50 ,$77.06 
10,7/31/20,$77.43 ,71699670,$78.67 ,$78.96 ,$75.36 
10,7/30/20,$78.20 ,80286890,$75.37 ,$78.96 ,$75.07 
10,7/29/20,$76.09 ,132969700,$75.50 ,$77.19 ,$73.90 
10,7/28/20,$67.61 ,94181370,$68.10 ,$69.80 ,$67.02 
10,7/27/20,$68.97 ,107918100,$69.28 ,$71.63 ,$67.79 
10,7/24/20,$69.40 ,205314500,$64.18 ,$69.94 ,$64.05 
10,7/23/20,$59.57 ,106829100,$61.63 ,$62.33 ,$58.63 
10,7/22/20,$61.79 ,135159400,$57.07 ,$62 ,$56.97 
10,7/21/20,$57 ,44800690,$57.81 ,$58.50 ,$56.32 
10,7/20/20,$57.46 ,45034250,$55.23 ,$57.53 ,$54.83 
10,7/17/20,$55.04 ,34710410,$55.31 ,$55.81 ,$54.68 
10,7/16/20,$54.92 ,36887080,$54.68 ,$55.15 ,$53.74 
10,7/15/20,$55.34 ,42360280,$54.96 ,$55.37 ,$53.59 
10,7/14/20,$54.72 ,54890110,$53.30 ,$54.86 ,$52.26 
10,7/13/20,$53.59 ,57741820,$56.68 ,$58.35 ,$53.38 
10,7/10/20,$55.88 ,59839690,$57.54 ,$58.15 ,$55.51 
10,7/9/20,$57.26 ,87216260,$53.52 ,$57.58 ,$53.31 
10,7/8/20,$53.43 ,35608340,$53.01 ,$53.47 ,$52.07 
10,7/7/20,$52.93 ,32153090,$53.28 ,$54.17 ,$52.86 
10,7/6/20,$53.40 ,36769430,$52.90 ,$53.52 ,$52.33 
10,7/2/20,$52.34 ,29081430,$53.03 ,$53.19 ,$52.05 
10,7/1/20,$52.58 ,32370950,$52.63 ,$52.87 ,$51.60 
10,6/30/20,$52.61 ,42275740,$51.16 ,$52.77 ,$50.82 
10,6/29/20,$50.28 ,49905810,$50.15 ,$50.28 ,$48.42 
