Date,Close/Last,Volume,Open,High,Low
07/29/2020,$12.7,69552560,$12.65,$13,$12.431
07/28/2020,$12.27,90075810,$11.48,$12.64,$11.38
07/27/2020,$11.69,64068520,$12.03,$12.09,$11.27
07/24/2020,$11.82,93425300,$11.38,$11.9,$10.91
07/23/2020,$12.15,95206300,$12.59,$12.63,$11.85
07/22/2020,$12.38,112260500,$12.38,$12.83,$11.81
07/21/2020,$12.88,128389100,$13.45,$13.58,$12.62
07/20/2020,$12.82,155428100,$11.42,$12.84,$11.38
07/17/2020,$11.09,290406300,$11.86,$12.07,$10.46
07/16/2020,$12.94,134606300,$12.46,$13.16,$12.45
07/15/2020,$13.52,114603700,$13.815,$13.95,$12.85
07/14/2020,$14.09,196123200,$13.25,$14.13,$12.42
07/13/2020,$13.84,313460300,$15.26,$16.44,$13.61
07/10/2020,$14.98,318851300,$15.61,$15.73,$14.2
07/09/2020,$14.57,316792000,$13.5,$14.63,$13.07
07/08/2020,$12.88,570911400,$14.1,$15.28,$12
07/07/2020,$13.22,444070500,$11.26,$13.77,$10.7
07/06/2020,$11.51,329223800,$11.05,$12.3,$10.93
07/02/2020,$9.38,221496700,$9.05,$9.4,$8.7
07/01/2020,$7.91,64842600,$7.79,$7.99,$7.67
06/30/2020,$7.72,84485470,$7.21,$7.75,$7.12
06/29/2020,$7.23,46070440,$6.98,$7.25,$6.71
